0,h,417,0
1,h,418,1
2,h,420,2
3,h,421,2
4,h,423,2
5,h,424,2
6,h,426,2
7,h,427,2
8,h,429,2
9,h,430,2
10,h,432,2
11,h,433,2
12,h,435,2
13,h,436,2
14,h,438,2
15,h,439,2
16,h,441,2
17,h,442,3
18,h,444,3
19,h,445,3
20,h,447,3
21,h,448,3
22,h,450,3
23,h,451,3
24,h,453,3
25,h,454,3
26,h,456,3
27,h,457,3
28,h,459,3
29,h,460,3
30,h,462,3
31,h,463,3
32,h,465,3
33,h,466,3
34,h,468,3
35,h,470,3
36,h,471,4
37,h,473,4
38,h,474,4
39,h,476,4
40,h,477,4
41,h,479,4
42,h,480,4
43,h,482,4
44,h,483,4
45,h,485,4
46,h,486,4
47,h,488,4
48,h,489,4
49,h,491,4
50,h,492,6
51,h,494,5
52,h,495,5
53,h,497,5
54,h,498,5
55,h,500,5
56,h,501,5
57,h,503,5
58,h,504,5
59,h,506,5
60,p,507,0
61,h,509,5
62,h,512,4
63,h,514,4
64,h,517,4
65,h,519,4
66,h,522,4
67,h,524,3
68,h,527,3
69,h,529,3
70,h,532,3
71,h,534,3
72,h,537,3
73,h,539,3
74,h,542,3
75,h,544,3
76,h,547,3
77,h,549,3
78,h,552,3
79,h,554,3
80,h,557,3
81,h,559,2
82,h,562,3
83,h,564,2
84,h,567,2
85,h,569,2
86,h,572,2
87,h,575,2
88,h,577,2
89,h,580,2
90,h,582,2
91,h,585,2
92,h,587,1
93,h,590,1
94,h,592,1
95,h,595,1
96,h,597,1
97,h,600,1
98,l,607,0
